art_style,painting,utterance
Ukiyo_e,utagawa-sadatora_fashionable-seven-autumn-plants,A Japanese woman beside a stream picks a flower from a shrub.
Realism,constant-troyon_cows-in-a-landscape,Two cows grazing in a meadow. There is a white skinny cow and a brown and white cow.
Impressionism,julian-alden-weir_autumn-rain-1890,"It is a fall-like scene with some trees being bare and the other trees having red, orange and yellow leaves."
Romanticism,ivan-aivazovsky_view-of-seaside-town-1877,The white boat is sailing away from the dock with another smaller boat by its side.
Cubism,willi-baumeister_female-runner-ii-1925,a naked woman running and a sunbathing male
Impressionism,thalia-flora-karavia_repos-aux-champs,A woman stands near a large tree with people seated and animals underneath it.
Impressionism,claude-monet_pathway-in-monet-s-garden-at-giverny,A flower lined path shaded by trees leads to a two story house.
Impressionism,laszlo-mednyanszky_burring-brook-with-bridge,"A small river, or a larger creek. The water is rushing down, causing some white water. There are trees along the bank."
Romanticism,dante-gabriel-rossetti_mary-magdalene-1877,A portrait of a woman holding a fruit close to her bosom
Romanticism,karl-bryullov_the-last-day-of-pompeii-1833,"A large group of people sheltering and coming together, in small groups while some are helping. The clouds are parting and it looks like light is coming through."
Impressionism,claude-monet_waterloo-bridge-sunlight-effect-4,A large bridge with many arches over water.
Realism,camille-corot_bologne-sur-mer-view-from-the-high-cliffs-1860,A hillside vista under a cloudy sky with water barely visible.
Romanticism,konstantin-makovsky_child-head,A girl with a white ribbon is looking at the picture.
Impressionism,edgar-degas_dancers-4,Several ballerinas dressed in yellow and purple tutus.
Pop_Art,roy-lichtenstein_whaam-1963,A comic strip type of illustration with a plane shooting down another plane.
Realism,thomas-eakins_portrait-of-mrs-kern-dodge-helen-peterson-greene-1904,A woman with her hair up is standing all alone.
Art_Nouveau_Modern,gustav-klimt_watersnakes-1907,two people embrace on a field of aquatic patterns
Art_Nouveau_Modern,raphael-kirchner_girls-between-brown-green-borders-1901-3,A woman reaches up to paint or draw on a wall.
Color_Field_Painting,john-hoyland_15-10-67-1967,A large red square sitting next to the same size orange square against a brown background
Northern_Renaissance,albrecht-durer_hohenasperg-siege-by-georg-von-frundsberg-in-war-of-swabian-federal-versus-herzog-ulrich,A castle is standing on top of a hill.
Impressionism,pierre-auguste-renoir_portrait-of-claude-renoir-painting-1907,A child sits and draws on a canvas next to a vase of flowers.
Ukiyo_e,utagawa-kuniyoshi_women-6,I see a beautiful geisha laboring for her superior. She seems happy but may be really sad inside.
Impressionism,alfred-sisley_apple-trees-in-flower-spring-morning-pommiers-en-fleurs-louveciennes-1873,Trees in bloom over dirt and green foliage with a few people who stand under a cloudy blue sky.
Post_Impressionism,albert-marquet_assouan-morning,A boat is on a blue green body of water in front of a sandy shore with two large buildings on it. Leafy trees are in the bottom front on other side of the water.
Baroque,rembrandt_st-paul-at-his-writing-desk-1630,"A pensive looking man in brown with a white beard. He is standing in front of what might be a bed, in front of a light background."
Expressionism,ernst-ludwig-kirchner_seated-lady-dodo,A woman is seated on a chair and is painted in a multicolored way.
Baroque,esaias-van-de-velde_mountainous-landscape-with-traveller,People travel back forth to a village at the top of the hills.
Rococo,louise-elisabeth-vigee-le-brun_portrait-of-madame-de-stael-as-corinne-1808,A woman with a harp in her hands is sitting on a rock in front of mountains
Northern_Renaissance,lucas-cranach-the-elder_rest-on-the-flight-into-egypt-1504,A man and woman are with a group of little angels.
Early_Renaissance,antonello-da-messina_virgin-annunciate-1475,A woman with a long blue scarf over her head is sitting in front of a desk that has an open book on it
Early_Renaissance,antonello-da-messina_st-sebastian-1477,A man is nailed to a tree with several large nails.
Color_Field_Painting,mario-cesariny_linha-d-agua,a field of white above a line of yellow above a field of green. Vaguely resembles a flat landscape
Romanticism,maxim-vorobiev_smirna-1820,A large boat along with several smaller boats in the water in front of a large town that sits in front of large mountains under a yellow hazy sky
Baroque,francisco-de-zurbaran_hercules-fighting-with-the-nemean-lion-1634,a naked man is fighting a lion in a rocky environment
Expressionism,paul-klee_legend-of-the-nile-1937(1),"shapes painted in brown on a blue and white background, framed in orange."
Symbolism,mikalojus-ciurlionis_alegro-sonata-of-the-pyramids-1909(1),"Pyramids and a silhouetted landscape, one with the rising moon behind it."
Ukiyo_e,kitagawa-utamaro_women-gathering-for-tooth-blackening-ceremony,An Asian woman views her reflection in a mirror while she uses a pencil to color her lips
Impressionism,mikhail-nesterov_spring-1901,A small wood cabin sits among a lush green landscape.
Impressionism,pierre-auguste-renoir_two-girls-in-the-garden-at-montmartre-1895,Two woman in the outdoors  barefoot. One is in a long red dress the other woman in a long white dress.
Realism,theodore-rousseau_not_detected_198916-1867,A little pond shinning under a sunny day with trees and surrounding and clouds reflecting.
Mannerism_Late_Renaissance,jacopo-pontormo_female-nude-1,A naked person half lying down and half propped up by their arm
Cubism,georges-braque_a-black-pedestal-1919,Geometric shapes and patterns in earthy tones
Symbolism,odilon-redon_satan-1877,the disembodied head of a man with dark skin.
Cubism,umberto-boccioni_nocturne-1911,"A stylized human figure wearing a purple shirt, with a long neck, purple hair, and  purplish glasses, against a background of dark ominous buildings"
Cubism,vasile-dobrian_composition-with-guitar-1961,A tall bowl of oranges sits beside a guitar on a table.
Realism,klavdy-lebedev_martha-the-mayoress-destruction-of-novgorod-by-ivan-iii-1889,"a chaotic scene, lots of people in a city center with some appearing to be dead or injured"
Realism,gustave-courbet_the-glacier-1873,"Landscape with mountains trees, and a small stream."
Art_Nouveau_Modern,nicholas-roerich_fairest-city-the-anger-for-enemies-1914,A castle surrounded by flaring orange flames of fire.
Minimalism,piero-manzoni_achrome-1960-1,An expanse of pale with barely visible straight lines.
Post_Impressionism,kazimir-malevich_reapers-1929,A farmer wearing white top and green skirt hold a knife while others are working in the field.
Expressionism,theo-van-doesburg_female-nude-on-a-chair-1931,A man is completely naked resting up against a structure looking the other way.
Color_Field_Painting,gene-davis_moroccan-wedding-1972(1),"Several small vertical lines of different colors, blue being the prominent color"
Impressionism,asgrimur-jonsson_moonlight-reykjav-k-1909,A seaside village comprised of small buildings with the water beyond.
Realism,boris-kustodiev_statement-of-the-model-in-the-studio-of-ilya-repin-academy-of-arts-1899,"A crowd of people, of the victorian era, with a nude woman standing on a platform in their midst"
Baroque,rembrandt_repentant-judas-returning-the-pieces-of-silver-1629,A group of men are huddling around the one sitting on the throne.
Expressionism,ion-tuculescu_god-s-eyes,abstract painting of green and orange with white shapes
Impressionism,stefan-luchian_autumn-woods,Trees arww turning yellow under the blue sky with white clouds.
Impressionism,maurice-prendergast_riva-san-biagio-venice,A large group of people stand next to water  with boat.
Expressionism,natalia-goncharova_spanish-dancers,Slender women dressed in black dresses with white veils on stand next to each other.
Realism,john-singer-sargent_madame-edouard-pailleron-study-1879,"A very pale, elegant woman with red hair wearing a long sleeved black dress."
Early_Renaissance,sandro-botticelli_scene-from-the-life-of-moses-scenes-on-the-left-1482(1),A fresco type piece shoing a huge crowd in front of and to the side of an arch.
Minimalism,alvaro-lapa_criminals-and-their-properties-1974,black and white checks above a red stripe and a beige stripe
Impressionism,john-henry-twachtman_dredging-in-the-east-river,A ship with an active smokestack uses a pulley system to pull up dregs.
Expressionism,amedeo-modigliani_bearded-man-1905,the form of a man rendered in thick black strokes.
Impressionism,joaquã­n-sorolla_self-portrait-1909,A portrait of a bearded man in a white hat.
Romanticism,eugene-delacroix_landscape-near-tangier(1),"Green leaves, mass fields and mountains disappearing into the distance."
Baroque,jacob-jordaens_satyr-and-peasant-1620,A family and their animals sit around the table with the devil.
Baroque,peter-paul-rubens_helena-fourment,"An elegantly dressed lady in a big beautiful puffy sleeve dressed, holding a flower with pursed lips."
Impressionism,lovis-corinth_the-jochberg-and-the-walchensee-1924,A mountain scene in the background with trees and flowers in the foreground.
Cubism,juan-gris_guitar-and-fruit-dish-1919,A lot of different shapes and colour combined on a piece of paint.
Art_Nouveau_Modern,henri-de-toulouse-lautrec_may-milton-1895,I see a blond haired woman in a pale flowing dress and a name in the background.
Cubism,georges-braque_fruit-on-a-tablecloth-with-a-fruitdish-1925,"Fruit sits on a cloth on a table, painted in an abstract style."
Romanticism,gustave-dore_the-slothful,An endless line of people in robes next to a cliff on the beach.
Expressionism,paula-modersohn-becker_head-of-a-peasant-woman,"A middle-aged, plain woman gazing off in to the distance."
Expressionism,wassily-kandinsky_rotterdam-sun-1906,A boat upon the water with what looks like a tent on it.
Baroque,bartolome-esteban-murillo_daniel-in-the-lions-den,A person looks to the heavens for help while surrounded by lions
Contemporary_Realism,mostafa-dashti_untitled-1993,Waves are crashing ashore on a very peaceful looking beach.
Romanticism,cornelis-springer_weeshuis-in-enkhuizen,A street filled with people inside town with large buildings.
Romanticism,dante-gabriel-rossetti_portrait-of-mrs-georgin-a-fernandez-1874,The woman has large eyes and well defined features with an elaborate hairstyle.  She's also wearing jewelry and what appears to be a dress.
Impressionism,pierre-auguste-renoir_seated-young-woman-1890,I see a painting of a pretty woman posing for the portrait
New_Realism,yiannis-tsaroychis_alexandras-square-in-piraeus-1962,Houses and buildings overlook a calm blue lake.
Impressionism,giovanni-boldini_portrait-of-donna-franca-florio-1924,A young lady dressed in a flapper style black dress and a long string of pearls posing with her head staring past you.
Rococo,canaletto_the-brenta-canal-at-padua,a series of houses connected bridge that crosses the river
Mannerism_Late_Renaissance,titian_rape-of-europe-1562,A man is looking over the sky and waving to some angels.
Romanticism,vasily-tropinin_mikhail-mikhailovich-speransky,An aristocratic man sits at a writing desk and is holding a rolled up scroll of paper.
Realism,martiros-saryan_sevan-lake-1953,A large body of water with mountains on both sides and a shoreline area
Realism,ivan-shishkin_landscape-with-bridge,A dark looking body of water surrounded by trees.
Impressionism,augustus-john_lady-mary-alington-1930,A portrait of a women  with brown hair and a red hat.
Art_Nouveau_Modern,ferdinand-hodler_the-halberdier-1895-1,A man wearing a red cloak is holding a large ax
Impressionism,alfred-sisley_moret-sur-loing-1888,A body of water with boats is next to grassy shore and trees with buildings in the background.
Realism,william-adolphe-bouguereau_head-study-of-female-face-blonde-1898,A young woman wearing white has her hair up with a barrette.
Post_Impressionism,maurice-prendergast_promenade-salem,"A sunny day in a riverside park, many couples are out enjoying the sunshine and sitting on benches."
Impressionism,pierre-auguste-renoir_the-footpath-1917,An abstract depiction of a landscape with trees and bushes.
Post_Impressionism,moise-kisling_not-identified-25,A seated half nude woman sketched in black and white.
Abstract_Expressionism,paul-jenkins_not_detected_235687,"A shadowy figure lurks in abstract surroundings, rendered in muted colors."
Early_Renaissance,fra-angelico_cortona-polyptych,A woman is sitting down and holding a baby while others surround her in a cathedral.
Realism,martiros-saryan_from-the-artist-s-life-portrait-of-lusik-saryan-in-profile-1941,A woman sits at a table in front of a mirror peeling an orange as a man stares behind her.
Post_Impressionism,tivadar-kosztka-csontvary_castellamare-di-stabia-1902,Boats sail past a horse drawn carriage on the outskirts of town
High_Renaissance,luca-signorelli_the-end-of-the-world-apocalypse-1502,An arch over a doorway is decorated with angels and people.
Realism,konstantinos-volanakis_1883-1885,A large sailboat appears to be moving away from a port of ships.
Symbolism,nicholas-roerich_the-rite-of-spring-1945-1,A group of people robed in red and white gather in a circle among green hills beside a river.
Minimalism,pierre-soulages_peinture-103-x-81-cm-18-mars-2004-2004,A stack of dark paper folders stack up on top of each other.
Art_Nouveau_Modern,edmund-dulac_a-new-marriage-the-rubaiyat-of-omar-khayyam,A woman pours a drink for a reclining robed man.
Realism,john-singer-sargent_a-backwater-at-calcot-near-reading-1888,A bridge crosses a creek as willow trees provide shade.
Mannerism_Late_Renaissance,tintoretto_st-mary-of-egypt-1587,"A woman with a light around her head, walking through a dark forest, next to a stream that winds up to a village."
Symbolism,nicholas-roerich_qaidam,The blue sky hangs over a calm lake with mountains in the distance.
Impressionism,guy-rose_marguerite-1918,"A woman that is fully dressed sitting on a couch, looking down reading her book on her lap."
Baroque,rembrandt_the-persian-1632,"An older, large man stands with a cane in old clothing in a sketch."
Realism,james-mcneill-whistler_arrangement-in-black-no-3-sir-henry-irving-as-philip-ii-of-spain,A man with a beard and hat is standing.
Realism,james-mcneill-whistler_arrangement-in-brown-and-black-portrait-of-miss-rosa-corder,a woman in long dark dresses holds a black hat
Abstract_Expressionism,william-scott_dark-brown-orange-and-white-1963,Various simple shapes are printed on a dark brown backdrop.
Symbolism,nicholas-roerich_nan-shan-tibetan-frontier-1936,Snow covered mountain tops are seen off in the distance while animals walk the rolling hills together.
Post_Impressionism,franklin-carmichael_industrial-building-1936,A ramshackle wooden building and its outbuildings are in a rural area.
Romanticism,anton-melbye_ships-at-sea-1867,Two ships with their sails expanded by the wind sail on choppy water under cloudy skies.
Pop_Art,andy-warhol_com,Differnet colors combination playing on the portrait of a fine cat.
Fauvism,alberto-magnelli_the-drunk-man-1914,A man in a suit is holding a bottle.
Realism,peder-severin-kroyer_hornbaek-in-winter-1891,The field is covered in a blanket of snow.
Cubism,gino-severini_flowers-and-masks-1930,A cubist style rendering of a lute and a basket of flowers.
Ukiyo_e,keisai-eisen_daikoku-ebisu-and-fukurokuju-counting-money,Three robed men smile and count money; one holds an abacus.
Naive_Art_Primitivism,niko-pirosmani_cold-beer-sign,A barkeep is filling up a pitcher of ale while a man in a black suit holds a glass.
Pop_Art,billy-apple_untitled-diptych-2011,a red apple on a white surface beneath an Apple logo.
Art_Nouveau_Modern,nicholas-roerich_boyarynia-and-children-1914,Three adults and two children dressed in bright clothing
New_Realism,john-french-sloan_blond-nude-and-flowers-1929,A naked lady is lying on a bed with her hand up to her head looking up
Realism,julius-leblanc-stewart_study-of-a-nude-woman-1892(1),"A naked woman holding a tree trunk, shown from behind."
Minimalism,john-mclaughlin_untitled-1974,A yellow and brown vertical stripe against a solid black background
Northern_Renaissance,albrecht-durer_st-christopher,a man carrying a child on his shoulders walks through water with a pole
Cubism,raoul-dufy_trees-at-estaque-1908,A monster with sticks for arms and an orange turtleneck.
Baroque,peter-paul-rubens_head-of-medusa,A decapitated head is surrounded by many different types of snakes.
Post_Impressionism,piet-mondrian_wood-with-beech-trees,Long tall spindly trees are surrounded by red leaves on the ground.
High_Renaissance,andrea-mantegna_madonna-with-saints-st-john-thebaptist-st-gregory-i-the-great-st-benedict-1506,an angelic scene with cherubs and bishops in the clouds
Baroque,anthony-van-dyck_pieter-stevens,A man wearing a jabot and a golden glove sits in front of a crest on the wall.
Realism,ivan-vladimirov_at-the-workers-outskirts-of-the-days-of-the-overthrow-of-the-autocracy-february-1917,People take to the streets to march to war alongside other citizens and a vehicle.
Impressionism,william-merritt-chase_the-turkish-page,"A boy sits on the floor, his lower body covered in a banket, feeding a bird that perches on his lap."
Impressionism,antoine-blanchard_the-pantheon-1,a bustling city street filled with commerce and society
Impressionism,henri-martin_child-in-red-jacket-1891,Portrait of a blond girl in a red coat.
Art_Nouveau_Modern,boris-kustodiev_wing-with-a-porch-1911,"A pink house below a castle, with a man plating guitar in a fenced in yard."
Impressionism,robert-julian-onderdonk_late-afternoon-valley-of-the-leon,"Outdoor hilly field , trees and brush are on both sides of the pucture. Looking beyond the trees in a distance there are more hills and mountains in the backround."
Baroque,bartolome-esteban-murillo_st-augustine-with-the-virgin-and-child,"A woman sitting in a chair, is holding a baby in her lap, beside a man who has a heart in his hand with an arrow the baby has, going through it."
Expressionism,edvard-munch_self-portrait-1926,A man in a suit jacket stands in front of a building outdoors.
Color_Field_Painting,sam-francis_acrylic-on-canvas,A white background that is framed in multicolored paint.
Realism,pyotr-konchalovsky_still-life-lilacs-in-the-bucket-1943,Purple lilac flowers are laying beautifully in a vase sitting on a ceramic table.
Expressionism,henri-matisse_still-life-with-oranges-ii-1899,A bowl of fruit and a cup on a table.
Cubism,amedee-ozenfant_voilier-1963,I can see confetti and a tornado with a sharp tooth on top.
Post_Impressionism,vincent-van-gogh_road-with-trees-1888,Simple but beautiful line paiting of a row of trees and a house.
Symbolism,konstantin-bogaevsky_after-the-rain-1938,I see a volcano on an island and a few tropical trees.
Symbolism,viktor-vasnetsov_portrait-of-boris-vasnetsov-son-of-the-artist-1889,A boy wearing a black shirt with a hood sits on a chair with a back.
Realism,pyotr-konchalovsky_kolomenskoye-after-the-rain-1930,The spires of the cathedral tower over the trees
Impressionism,claude-monet_view-of-argenteuil-in-the-snow,Small human silhouettes walk through a snowy landscape.
Pop_Art,hiro-yamagata_rhythmic-gymnastics,A pop art style drawing of olympic gymnasts performing on a bright yellow and rainbow striped background and “CENTENNIAL OLYMPIC GAMES” text at the bottom.
Post_Impressionism,vincent-van-gogh_public-garden-with-a-corner-of-the-yellow-house-1888,A large path with some large tress around it.
Impressionism,pierre-auguste-renoir_claude-renoir-potting-1916,A young man appears to be to working on something with his hands.
Impressionism,pierre-auguste-renoir_glass-of-wine-1908,"A full glass of red wine is next to a bread knife and a half of a loaf of bread, sitting on a large rock in the middle of an open field."
Realism,ivan-shishkin_forest-before-the-storm-1872,A forest of tall trees with some stumps that were cut off.
Post_Impressionism,edouard-cortes_place-from-a-knoll-montmartre,People are walking in the road and on the sidewalks of a large city
Art_Nouveau_Modern,ivan-bilibin_crimea-koktebel-1939-1(1),Calm water with rocks and mountains surrounding the water.
Romanticism,gustave-dore_don-quixote-73,A two panel illustration that appears to be religious.
Realism,gustave-courbet_the-stream-in-bremen-1865,A lovely white sfone surrounded by trees andd bushes by a little stream.
Expressionism,mario-eloy_nude-1932,a naked woman in good detail looking to the side
Fauvism,bela-czobel_street-in-southern-france-1935,Colorful buildings flank a narrow road that winds between them.
Art_Nouveau_Modern,alphonse-mucha_biscuits-lefevre-utile-1896,A woman with bright red hair wearing a flower crown sits languidly offering a plate of cookies.
Expressionism,salvador-dali_untitled-nude-figures-after-michelangelo,A cloudy human figure is disintegrating into dust.
Romanticism,jan-matejko_henryk-pobozny,I see a soldier or guard riding a horse with a sword of some type.
Realism,vincent-van-gogh_peasant-sitting-by-the-fireplace-worn-out-1881-1,A man sitting on a chair with a kettle in fronr of him.
Expressionism,jean-david_couple,Two fat and pompous men sitting and waiting to be amused.
Northern_Renaissance,jean-fouquet_clovis-ii,A group of people huddling around in the church.
Art_Nouveau_Modern,nicholas-roerich_the-scene-with-eight-figures-in-costumes-1913,Men wearing brown and yellow coats as well as hats are walking someplace.
Pop_Art,peter-phillips_select-o-mat-corolla-1972,"A collage of a car, multicolored cubes, tubes, watercolor paint set and lines displayed on a swirled background."
Art_Nouveau_Modern,raphael-kirchner_lillian-lorraine-1,A sexy woman looks to be only coverd by the fox she is holding.
Symbolism,john-atkinson-grimshaw_midsummer-night,A single angel flying above the land and water.
Art_Nouveau_Modern,raphael-kirchner_on-holiday-3,A girl in a hat and a striped shirt holds some kind of stick.
Realism,thomas-eakins_portrait-of-letitia-wilson-jordan-1888,Woman standing in a long black dress holding an open fan
Romanticism,george-stubbs_a-chestnut-racehorse,A beautiful dark horse in a pasture with a short tail
Impressionism,john-singer-sargent_villa-torre-galli-the-loggia-1910,A portico with a woman reading and a man being tended to by a servant. There is a statue in the background.
Realism,william-merritt-chase_portrait-of-worthington-whittredge,"The older gentlemen is holdting a paint brush and a paint pallete. He is sitting in front of an easel getting ready to,paint."
Early_Renaissance,domenico-ghirlandaio_the-annunciation-1490,Two women are inside a room talking while one is down on her knee.
Color_Field_Painting,mark-rothko_no-10,A blue rectangle of color sitting on top of a larger yellow square which is sitting on top of a white square
Art_Nouveau_Modern,sergey-solomko_blarney,A woman holds purple flowers and a man rests his arm on her from behind.
Realism,gustave-courbet_the-beach-at-palavas-1854,"A man stands on a rock, gazing out to sea, his arm raised."
Realism,james-tissot_the-inn-of-the-three-ravens,In front of an old wooden shop sits an man and young boy with a woman looking out.
Post_Impressionism,pyotr-konchalovsky_paris-innkeeper-1908,A woman with a serious face sits with her hands clasped together.
Rococo,vladimir-borovikovsky_portrait-of-alexander-semenovitsch-chvostov-1801,A man in gray is holding a book on his hands.
Expressionism,georges-braque_next-to-the-sea-1958,A person standing in the shadows watching something on the water.
Fauvism,ion-pacea_marina-with-red-sun,A red and white circle and triangles next to a blue water looking shape and brown shore like shape.
Realism,pavel-fedotov_get-married-gentlemen-that-would-come-in-very-handy,This painting has a sad feeling to it because of the person take the boys hat off or attempting to.
Art_Nouveau_Modern,sergey-solomko_age-at-the-dawn-of-history-amazon,"A woman that can only be seen from the neck up, who is wearing a bonnet, is looking up, to her left at writing that is in another language."
Expressionism,amedeo-modigliani_lunia-czechowska-1917,An animated woman with an odd shaped head and blue eyes is sitting with her hands crossed
Romanticism,theodore-chasseriau_macbeth-the-apparition-of-the-kings-1856,A man stands in front of white ghost like figures seated in front of him.
Ukiyo_e,keisai-eisen_decoration-of-three-treasures-and-a-mask-of-otafuku-1823,Chinese lettering above what seems to be a disembodied head in front of an altar.
Naive_Art_Primitivism,marc-chagall_creation-1980,"A few people and animals are viewed here, some are indeed naked."
Realism,john-singer-sargent_the-marchioness-curzon-of-kedleston-1925,a woman wearing a elegant silver dancing dress and various jewelery
Romanticism,francisco-goya_the-lineage-1799,Sketch of ladies and gentlemen gatherings with masks on.
Impressionism,edgar-degas_two-horses-in-a-pasture,Two brown horses standing in a grassy field with their heads towards the ground
Cubism,raoul-dufy_homage-to-mozart,A bust of Mozart sits upon a red piano amidst a red violin and papers of sheet music.
Abstract_Expressionism,rodolfo-arico_poligonale-orfico-1988,"An irregular geometric shape, gray with pink marbling."
Expressionism,amedeo-modigliani_reclining-nude-with-arms-folded-under-her-head-1916,A nude woman lying down. She is thin on top wnd has wide curves on the hips.
Realism,mihaly-munkacsy_pawn-office-1874,People wait in a lobby to speak to management while a child carries paperwork
Color_Field_Painting,gene-davis_untitled-p280-1967,Vertical lines in a variety of bright colors.
Baroque,frans-snyders_the-pantry,A swan and other animals are in the process of being cooked.
Baroque,rembrandt_the-pilgrims-at-emmaus,Three men in period clothing sit around a table in a dimly lit room.
High_Renaissance,raphael_the-healing-of-the-lame-man-cartoon-for-the-sistine-chapel,A group of people hanging out inside a building.
Naive_Art_Primitivism,fernand-leger_the-album-circus-1950-46,A woman has her legs wrapped around a horse's neck.
High_Renaissance,luca-signorelli_self-portrait-of-luca-signorelli-left,Two men faced each other while standing really close.  One wore all black clothing and the man wore all brown clothing.
Impressionism,victor-borisov-musatov_portrait-of-nadezhda-staniukovich-1903,A woman with red flowers in her hair standing in front of brown trees
Impressionism,guy-rose_carmel-shore-1919,A sandy looking area next to body of water with large mountains against a cloudy sky
Symbolism,felicien-rops_the-trifles-of-the-door,A half naked woman is kissing someone through a small window in a door.
Rococo,george-morland_wooded-landscape-with-a-toll-gate,A man rides a horse toward a white building among a hilly landscape.
Baroque,annibale-carracci_rest-on-flight-into-egypt,A mother cradles a child while its siblings look on and their father ties their mule to a tree.
Impressionism,eugene-boudin_shore-at-low-tide-rainy-weather-near-trouville-1895,People stand along a water's edge beneath a cloudy sky.
Post_Impressionism,moise-kisling_not-identified-7,A tall woman is standing to a smaller woman.
Realism,valentin-serov_portrait-of-italian-singer-francesco-tamano-1893,A man's torso is painted against a black background.
Expressionism,paula-modersohn-becker_five-children-on-the-edge-of-the-meadow-1903,A pencil drawing of several girls sitting together.
Early_Renaissance,antonello-da-messina_st-jerome-penitet,an old man stands in front of a red dress that is on the ground
Minimalism,bruce-nauman_fist-in-mouth-1990,A head floating on a white background biting a fist.
Impressionism,cornelis-vreedenburgh_view-of-the-singel-amsterdam-with-the-koepelkerk-beyond-1940,An old timey street scene with a domed building in the background.
Baroque,peter-paul-rubens_lamentation-christ-on-the-straw-1618,A dying man is tended to by others as he looks to the heavens for deliverance
Expressionism,ernst-ludwig-kirchner_self-portrait-4,A line drawing of a man with dark hair and a long face.
Romanticism,jan-matejko_battle-of-grunwald-detail-5,a vicious war scene of two well armored men
Impressionism,william-merritt-chase_lydia-field-emmet,A woman stands in a black dress with white lace and a long pink ribbon.
Romanticism,ivan-aivazovsky_livadia,"A man and woman are shown walking through a garden area. There are trees on either side and a mountain in the horizon. The man and woman are dressed formally, with the woman wearing a long gown and the man in a white jacket and hat."
Realism,vincent-van-gogh_orphan-man-with-a-baby-in-his-arms-1883,A sketch of an old lady holding a baby.
Fauvism,jean-hugo_la-mort,This is a view of an aristocrat's opulent home and a murder has taken place.
Symbolism,harry-clarke_tales-of-mystery-and-imagination-by-edgar-allan-poe-1923-13,A blood thirsty ape beast show has bodies behind him and in front of him that he has killed.
Expressionism,abidin-dino_legendes-a-venir-theatre-poster,"a flyer for a movie in a foreign language, blue and red colors with various shapes"
Expressionism,tia-peltz_cimpoi-player,A man with a hat is blowing a pipe from his hands.
Impressionism,eugene-boudin_bordeaux-the-port-1,A picture of many sailboats lined up at the shore.
Expressionism,salvador-dali_portrait-of-anna-maria,A young women in a purple long sleeved dress is sitting on a chair with her hand in her lap.
Expressionism,nikolaos-lytras_portrait-of-arist-maria-hors,The female painter is holding a colour mixing palette and looking at the canvas to try to focus to start her strokes.
Baroque,francisco-de-zurbaran_st-bartholomew-almost-in-agony-1632,A naked religious figure is falling down with fear in his face.
Impressionism,kimon-loghi_biarritz-beach,"A beautiful tree that is blossoming on the shore of the water, with a single boat inside of the river."
Northern_Renaissance,albrecht-durer_map-of-the-southern-sky-with-representations-of-constellations-decorated-with-the-crest-of-1515,A graph of many different creature going around in a circle.
Cubism,candido-portinari_denise-com-carneiro-branco-1961,A baby in a pinkish dress is petting a lamb.
Northern_Renaissance,hans-memling_portrait-of-an-unknown-man-with-a-letter-1485,A guy with black hat and clothes looking rather miserablely with hands covering eath other.
Early_Renaissance,andrea-mantegna_presentation-of-christ-in-the-temple-1466,"A group of men, some with haloes, surround a woman and child with haloes."
Expressionism,ernst-ludwig-kirchner_colourful-dance,"Three figures dancing together. They are each incased in a specific color, red, yellow, or blue."
Impressionism,guy-rose_palms,Palm trees tower against a sunny mountainous background.
Impressionism,nikolay-bogdanov-belsky_spring-rehearsal,A boy plays an instrument as a group of mostly girls look on.
Early_Renaissance,paolo-uccello_the-battle-of-san-romano,Pencil drawing of a horse head. It's mouth is open and it's wearing it's face gear.
Northern_Renaissance,jan-van-eyck_adoration-of-the-lamb-1429,A large crowd gathered around an altar of sorts with a lamb on it.
Post_Impressionism,vincent-van-gogh_church-in-nuenen-with-one-figure(1),A person carries something over his/her shoulder in front of a church; the trees are barren implying it is winter
Early_Renaissance,giovanni-bellini_pieta-with-the-virgin-and-st-john,Two sad and distraught women are holding Jesus who has crucifixion wounds on his hands and a spear puncture mark on his chest.
Romanticism,fyodor-solntsev_people-clothes-the-province-of-kiev-3,"A man in a long robe, gold, weaved belt, and black boots is atanding straight up,,right next to a copy of his image from the black."
Expressionism,zinaida-serebriakova_portrait-of-countess-rosario-zubova-1938,"A pale faced woman from circa 1930 from the chest up wearing a flower hat, pearl necklace, and black shirt."
Romanticism,eugene-delacroix_michelangelo-in-his-studio-1850(1),"A man reclines on a bench, flanked by statues."
Realism,boris-kustodiev_paris-at-night-1909,people gathered on a market street in darkness.
Symbolism,pierre-puvis-de-chavannes_the-prodigal-son,"A man in a loincloth seated on the ground, animals in the distance."
Post_Impressionism,pierre-bonnard_not_detected_221940,A woman walks with children playing and a dog with carriages in the background.
Art_Nouveau_Modern,kay-nielsen_rosebud,Ancient ruins are shown with some green and white colors.
Symbolism,nicholas-roerich_star-of-the-hero-1932,A man watches a shooting star on a dark night.
Romanticism,arthur-hughes_the-pained-heart-or-sigh-no-more-ladies-1868,A bored young woman sits by the window as an older lady leans over her looking conncerned.
Realism,thomas-eakins_john-biglin-in-a-single-scull-1874,"A man with a red bandana, white sleeveless shirt, and dark shorts is rowing in a body of water with blue skies above and a few sailboats in the distance."
Realism,robert-brackman_three-women-nude-and-with-pitcher,A sketched color drawing of three woman bathing holding towels and a water jug and wearing head coverings.
High_Renaissance,correggio_madonna-and-child-1514(1),A woman is sitting beside a drape with a small child on her lap
Naive_Art_Primitivism,marc-chagall_the-lion-grown-old-1927,A blue donky jumps over a brown horse next to a white bull and a lion.
